Date,Time,X,Y,Z,Magnitud,Dias Restantes,Gas_%
2025-04-05,00:00:00,65454,65361,65378,113272.103,13.867311907496543,42.40343333333343
2025-04-05,00:10:00,65423,65353,65466,113300.4002,14.17578228961876,43.346673333333456
2025-04-05,00:20:00,65425,65338,65450,113283.6589,13.99328383718441,42.78862999999983
2025-04-05,00:30:00,65410,65330,65451,113270.9601,13.854853049385866,42.36533666666655
2025-04-05,00:40:00,65420,65355,65467,113300.3994,14.17577356874502,43.346646666666494
2025-04-05,00:50:00,65423,65322,65385,113235.7313,13.470820657569503,41.19104333333332
2025-04-05,01:00:00,65420,65321,65451,113271.5447,13.861225827801723,42.38482333333328
2025-04-05,01:10:00,65411,65349,65401,113253.6159,13.665782328551238,41.78719666666681
2025-04-05,01:20:00,65401,65340,65396,113239.7599,13.514736797025673,41.32533000000016
2025-04-05,01:30:00,65411,65341,65471,113289.4392,14.056295419594706,42.98130666666645
2025-04-05,01:40:00,65424,65346,65422,113271.5215,13.860972922466075,42.38405000000009
2025-04-05,01:50:00,65430,65347,65423,113276.1415,13.911335967763955,42.538049999999934
2025-04-05,02:00:00,65415,65334,65425,113261.1337,13.747734558408567,42.03779000000019
2025-04-05,02:10:00,65429,65322,65464,113284.8314,14.006065367619879,42.827713333333186
2025-04-05,02:20:00,65418,65326,65384,113234.5727,13.45819065231367,41.15242333333347
2025-04-05,02:30:00,65408,65358,65381,113245.5288,13.577624106986494,41.517626666666665
2025-04-05,02:40:00,65403,65344,65423,113258.8172,13.72248217866123,41.9605733333335
2025-04-05,02:50:00,65413,65328,65453,113272.6947,13.873762083665865,42.42315666666642
2025-04-05,03:00:00,65420,65321,65447,113269.2335,13.836031223842332,42.307783333333404
2025-04-05,03:10:00,65427,65326,65407,113253.0541,13.659658095034159,41.768469999999795
2025-04-05,03:20:00,65428,65327,65410,113255.9412,13.691130637908621,41.8647066666667
2025-04-05,03:30:00,65402,65333,65444,113264.0262,13.779265967179914,42.13420666666644
2025-04-05,03:40:00,65403,65359,65367,113235.1358,13.464329057250302,41.171193333333456
2025-04-05,03:50:00,65401,65325,65417,113243.2352,13.552621362247198,41.44117333333319
2025-04-05,04:00:00,65409,65323,65417,113246.7019,13.590412178077187,41.55673
2025-04-05,04:10:00,65428,65337,65453,113286.548,14.024778182242912,42.88493333333317
2025-04-05,04:20:00,65411,65353,65437,113276.7165,13.917604095696024,42.5572166666665
2025-04-05,04:30:00,65429,65355,65377,113253.6189,13.665815031827373,41.78729666666671
2025-04-05,04:40:00,65430,65334,65435,113275.5741,13.90515068813148,42.519136666666604
2025-04-05,04:50:00,65413,65342,65425,113264.5936,13.785451246812388,42.15311999999976
2025-04-05,05:00:00,65407,65340,65443,113270.3734,13.848457378676713,42.34577999999989
2025-04-05,05:10:00,65412,65337,65474,113289.4434,14.056341204181452,42.98144666666679
2025-04-05,05:20:00,65420,65343,65389,113248.4233,13.609177317942038,41.61410999999983
2025-04-05,05:30:00,65424,65348,65378,113247.2682,13.596585466508468,41.575606666666864
